DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BE,2021,1656.707,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2010,907.911,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2011,938.263,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2012,931.900,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2013,906.019,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2014,910.576,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2015,915.219,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2016,922.872,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2017,957.656,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2018,942.650,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2019,932.407,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2020,976.456,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,BG,2021,1027.798,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2010,149.441,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2011,148.151,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2012,143.852,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2013,123.560,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2014,122.528,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2015,130.267,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2016,136.285,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2017,143.119,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2018,145.166,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2019,152.338,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2020,155.274,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CY,2021,156.269,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2010,1292.175,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2011,1220.980,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2012,1253.740,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2013,1265.348,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2014,1214.531,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2015,1236.629,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2016,1284.179,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2017,1307.934,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2018,1294.027,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2019,1311.852,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2020,1373.386,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,CZ,2021,1484.089,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2010,12184.007,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2011,11745.486,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2012,11779.880,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2013,11693.895,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2014,11143.594,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2015,11066.208,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2016,11023.216,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2017,11257.438,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2018,10995.701,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2019,10880.396,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2020,10956.664,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DE,2021,11906.363,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2010,893.293,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2011,869.390,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2012,858.899,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2013,886.242,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2014,868.788,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2015,875.035,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2016,883.099,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2017,845.793,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2018,837.647,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2019,880.624,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2020,899.998,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,DK,2021,931.494,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2010,173.947,
